iter	Passed	Remaining
215	123506	57055615
216	124042	57038444
217	124607	57034730
218	125154	57023242
219	125765	57040550
220	126271	57010092
221	126863	57018974
222	127464	57031595
223	128027	57026956
224	128578	57017571
225	129190	57034843
226	129783	57043653
227	130382	57055074
228	130837	57003312
229	131394	56996564
230	131994	57008527
231	132585	57016133
232	133150	57012992
233	133735	57018047
234	134325	57025619
235	134822	56993478
236	135298	56952729
237	135907	56968054
238	136501	56977265
239	137012	56951679
240	137665	56985016
241	138207	56972339
242	138784	56974075
243	139373	56980891
244	139858	56945092
245	140448	56952634
246	140954	56925814
247	141537	56929972
248	142106	56928819
249	142756	56959987
250	143374	56978118
251	143900	56959493
252	144434	56944270
253	145032	56954210
254	145613	56957592
255	146168	56951073
256	146633	56909364
257	147182	56900392
258	147783	56911436
259	148277	56881717
260	148866	56888228
261	149502	56912507
262	150093	56919812
263	150714	56938041
264	151312	56947597
265	151849	56934297
266	152473	56953752
267	153003	56937980
268	153597	56945958
269	154168	56945330
270	154673	56920242
271	155223	56912264
272	155842	56929416
273	156495	56958757
274	157059	56955458
275	157686	56975051
276	158203	56954858
277	158752	56946544
278	159341	56952152
279	159946	56963794
280	160492	56954176
281	161020	56938394
282	161578	56933378
283	162040	56894393
284	162594	56888099
285	163096	56863824
286	163669	56864140
287	164264	56872068
288	164821	56866915
289	165426	56878247
290	166040	56892509
291	166628	56897786
292	167235	56909830
293	167759	56893357
294	168384	56910948
295	168933	56903271
296	169508	56903980
297	170022	56884380
298	170612	56890264
299	171159	56882106
300	171743	56885837
301	172349	56896961
302	173008	56925574
303	173566	56920722
304	174188	56936767
305	174850	56965933
306	175419	56964485
307	176017	56972468
308	176633	56986401
309	177229	56993449
310	177716	56965823
311	178190	56934148
312	178738	56926285
313	179265	56911620
314	179811	56903147
315	180271	56867816
316	180817	56859262
317	181407	56865076
318	181994	56869522
319	182585	56875479
320	183197	56887609
321	183877	56920922
322	184398	56905016
323	184939	56895285
324	185464	56880678
325	186072	56891415
326	186644	56891164
327	187179	56879791
328	187723	56871058
329	188181	56836405
330	188591	56787636
331	189180	56792857
332	189766	56797299
333	190303	56786889
334	190894	56792408
335	191398	56772559
336	191995	56779883
337	192550	56775001
338	193131	56777698
339	193729	56785478
340	194318	56790437
341	194882	56788428
342	195493	56799594
343	196078	56803396
344	196596	56787849
345	197169	56788234
346	197768	56795918
347	198331	56793493
348	198955	56808385
349	199559	56817480
350	200097	56807628
351	200522	56766086
352	201127	56775420
353	201709	56778489
354	202201	56756048
355	202781	56758225
356	203361	56760685
357	203949	56765051
358	204534	56768987
359	205141	56778600
360	205761	56791816
361	206297	56782065
362	206897	56789547
363	207447	56783664
364	208032	56787275
365	208649	56799533
366	209242	56805152
367	209849	56814510
368	210388	56805584
369	211057	56831463
370	211661	56839959
371	212172	56823327
372	212771	56830448
373	213293	56817055
374	213872	56818914
375	214534	56842585
376	215095	56839536
377	215725	56854472
378	216361	56871003
379	216895	56860980
380	217450	56856228
381	218047	56862356
382	218636	56866482
383	219144	56849647
384	219587	56816054
385	220232	56834923
386	220852	56846933
387	221441	56851192
388	222063	56863597
389	222735	56888876
390	223302	56887198
391	223792	56866112
392	224290	56847170
393	224783	56826992
394	225350	56825283
395	225931	56827561
396	226517	56830887
397	227084	56829408
398	227668	56832103
399	228252	56834748
400	228856	56842532
401	229477	56854499
402	229972	56835223
403	230598	56848355
404	231157	56844822
405	231718	56841881
406	232307	56845706
407	232703	56802358
408	233317	56812479
409	233919	56819735
410	234490	56819132
411	235071	56821014
412	235699	56834414
413	236308	56843151
414	236805	56824704
415	237349	56817754
416	237958	56826322
417	238471	56812161
418	239045	56812400
419	239648	56819434
420	240246	56825453
421	240788	56818207
422	241244	56790502
423	241832	56794024
424	242450	56804676
425	242970	56792467
426	243436	56767343
427	243928	56748654
428	244531	56755717
429	245092	56753065
430	245682	56757146
431	246294	56766320
432	246889	56771357
433	247427	56763615
434	248033	56771138
435	248623	56775101
436	249204	56777017
437	249713	56762457
438	250156	56733025
439	250756	56739355
440	251338	56741556
441	251932	56746372
442	252454	56734950
443	252992	56727403
444	253531	56719825
445	254119	56723308
446	254692	56723413
447	255302	56731955
448	255841	56724340
449	256354	56711210
450	256855	56695634
451	257395	56688468
452	257953	56685380
453	258572	56695709
454	259109	56687969
455	259616	56673841
456	260256	56688570
457	260817	56686150
458	261347	56677079
459	261862	56664794
460	262363	56649498
461	262973	56657764
462	263528	56653980
463	264069	56647507
464	264649	56649239
465	265197	56644068
466	265602	56608661
467	266142	56601905
468	266692	56597323
469	267242	56592798
470	267821	56594499
471	268420	56600245
472	269018	56605828
473	269518	56590859
474	270087	56590391
475	270644	56587403
476	271223	56588973
477	271815	56593273
478	272416	56599594
479	273008	56603830
480	273578	56603468
481	274134	56600267
482	274777	56614962
483	275298	56604493
484	275724	56574696
485	276350	56585845
486	276936	56588880
487	277524	56592193
488	278127	56598635
489	278691	56597082
490	279221	56588634
491	279822	56594706
492	280385	56592979
493	281015	56604799
494	281604	56608110
495	282162	56605522
496	282751	56608989
497	283295	56603337
498	283821	56594210
499	284326	56580909
500	284919	56585173
501	285472	56581616
502	286069	56586617
503	286677	56593733
504	287211	56586282
505	287702	56570509
506	288291	56574009
507	288821	56565816
508	289403	56567831
509	289943	56561636
510	290544	56567556
511	291093	56563083
512	291624	56555274
513	292178	56551934
514	292787	56559080
515	293392	56565546
516	293907	56554760
517	294464	56551872
518	295061	56556813
519	295519	56535095
520	296117	56540251
521	296696	56541740
522	297204	56529587
523	297781	56530761
524	298291	56519137
525	298857	56518227
526	299378	56508613
527	299964	56511579
528	300588	56521525
529	301176	56524540
530	301752	56525372
531	302247	56511170
532	302862	56519406
533	303444	56521413
534	304005	56519391
535	304602	56524162
536	305205	56530132
537	305710	56517874
538	306258	56513470
539	306897	56525928
540	307488	56529577
541	308079	56533194
542	308600	56523873
543	309104	56511501
544	309650	56506931
545	310056	56476872
546	310598	56471552
547	311094	56458045
548	311694	56463237
549	312232	56457337
550	312642	56428314
551	313224	56430403
552	313774	56426691
553	314291	56416978
554	314859	56416645
555	315407	56412613
556	316034	56422650
557	316655	56431591
558	317166	56421036
559	317703	56415019
560	318266	56413812
561	318884	56422212
562	319532	56435827
563	320156	56445215
564	320756	56450341
565	321256	56437786
566	321773	56428395
567	322364	56432015
568	322875	56421579
569	323346	56404085
570	323879	56397542
571	324479	56402647
572	325079	56407763
573	325634	56405109
574	326200	56404288
575	326756	56401855
576	327343	56404715
577	327909	56403780
578	328528	56412159
579	329153	56421373
580	329767	56428868
581	330407	56440667
582	330985	56441785
583	331555	56441726
584	332154	56446458
585	332799	56458853
586	333319	56450170
587	333903	56452360
588	334467	56451196
589	335057	56454366
590	335669	56461202
591	336214	56456764
592	336796	56458571
593	337394	56463008
594	337911	56454004
595	338489	56455041
596	339058	56454738
597	339639	56456301
598	340266	56465558
599	340820	56462658
600	341409	56465568
601	341927	56456706
602	342549	56465001
603	343149	56469723
604	343767	56477366
605	344362	56481100
606	344863	56469555
607	345464	56474351
608	346085	56482353
609	346603	56473643
610	347154	56470244
611	347782	56479408
612	348351	56478963
613	348969	56486400
614	349570	56491089
615	350185	56498075
616	350776	56501208
617	351374	56505285
618	351997	56513562
619	352585	56516054
620	353145	56514130
621	353721	56514708
622	354201	56499997
623	354795	56503479
624	355376	56504818
625	355905	56498008
626	356438	56491728
627	356957	56483463
628	357455	56471793
629	357950	56459589
630	358563	56466146
631	359157	56469575
632	359748	56472522
633	360248	56461280
634	360727	56446718
635	361300	56446988
636	361843	56442442
637	362370	56435487
638	362928	56433470
639	363554	56441761
640	364090	56436349
641	364687	56440151
642	365299	56446368
643	365768	56430538
644	366366	56434686
645	366855	56421936
646	367425	56421659
647	368027	56426303
648	368630	56431074
649	369136	56421093
650	369736	56425455
651	370354	56432506
652	370907	56429688
653	371423	56421111
654	372033	56426901
655	372663	56435777
656	373231	56435210
657	373858	56443593
658	374478	56450851
659	375082	56455671
660	375672	56458339
661	376226	56455535
662	376876	56467212
663	377432	56464858
664	377970	56459699
665	378559	56462243
666	379181	56469684
667	379777	56473114
668	380346	56472662
669	380990	56483237
670	381607	56489790
671	382105	56478805
672	382600	56467469
673	383204	56472054
674	383765	56470424
675	384263	56459409
676	384859	56462873
677	385459	56466953
678	386060	56471112
679	386613	56468288
680	387210	56471822
681	387723	56463276
682	388272	56459889
683	388845	56459948
684	389410	56458850
685	389875	56443359
686	390484	56448641
687	390998	56440235
688	391410	56417049
689	391999	56419478
690	392569	56419162
691	393144	56419618
692	393662	56411863
693	394250	56414165
694	394797	56410561
695	395314	56402747
696	395874	56401054
697	396508	56409843
698	397072	56408717
699	397692	56415486
700	398320	56423398
701	398890	56423115
702	399516	56430778
703	400039	56423788
704	400629	56426213
705	401225	56429623
706	401785	56427887
707	402276	56416503
708	402876	56420364
709	403453	56421031
710	403952	56410801
711	404572	56417377
712	405062	56405993
713	405565	56396278
714	406167	56400419
715	406767	56404357
716	407331	56403210
717	407900	56402744
718	408506	56407450
719	409059	56404801
720	409663	56409065
721	410222	56407319
722	410776	56404772
723	411420	56414633
724	412059	56423783
725	412628	56423263
726	413219	56425750
727	413815	56429030
728	414446	56436876
729	415063	56442896
730	415558	56432416
731	416138	56433348
732	416645	56424430
733	417241	56427715
734	417813	56427528
735	418359	56423951
736	418938	56424828
737	419542	56428991
738	419989	56412146
739	420555	56411236
740	421214	56422913
741	421805	56425247
742	422395	56427635
743	422896	56418084
744	423459	56416762
745	424064	56420995
746	424678	56426583
747	425280	56430361
748	425879	56433801
749	426465	56435650
750	427079	56441061
751	427634	56438591
752	428237	56442579
753	428829	56445133
754	429416	56447004
755	429915	56437178
756	430439	56430827
757	431040	56434406
758	431530	56423632
759	432125	56426454
760	432641	56419030
761	433263	56425429
762	433853	56427703
763	434465	56432781
764	435009	56428916
765	435606	56432093
766	436169	56430796
767	436534	56403908
768	437076	56399957
769	437648	56399776
770	438275	56406814
771	438817	56402885
772	439409	56405306
773	439859	56389477
774	440452	56392080
775	440942	56381494
776	441605	56393100
777	442209	56397070
778	442836	56403951
779	443442	56408189
780	444023	56409192
781	444419	56386765
782	444971	56384118
783	445533	56382697
784	446162	56389825
785	446682	56383092
786	447213	56377885
787	447763	56375024
788	448257	56365143
789	448865	56369601
790	449367	56360705
791	450008	56369305
792	450577	56368833
793	451059	56357479
794	451645	56359051
795	452196	56356407
796	452796	56359777
797	453276	56348229
798	453750	56336068
799	454266	56329001
800	454881	56334268
801	455477	56337256
802	456102	56343707
803	456618	56336675
804	457028	56316720
805	457585	56314778
806	458187	56318484
807	458709	56312301
808	459269	56310706
809	459850	56311812
810	460438	56313770
811	461002	56312748
812	461642	56320931
813	462241	56324157
814	462743	56315545
815	463232	56305425
816	463792	56303916
817	464394	56307582
818	465003	56311964
819	465610	56316134
820	466194	56317529
821	466763	56317093
822	467331	56316583
823	467901	56316214
824	468510	56320691
825	469180	56332327
826	469768	56334135
827	470275	56326324
828	470880	56330196
829	471473	56332540
830	472026	56330224
831	472514	56320085
832	473071	56318181
833	473580	56310637
834	474203	56316606
835	474794	56318776
836	475436	56326976
837	476003	56326297
838	476574	56326118
839	477180	56330079
840	477780	56333214
841	478368	56335005
842	478935	56334334
843	479483	56331308
844	480066	56332492
845	480623	56330662
846	481200	56331193
847	481816	56336151
848	482407	56338283
849	483021	56343071
850	483597	56343408
851	484111	56336459
852	484564	56322506
853	485178	56327284
854	485706	56322109
855	486311	56325835
856	486920	56329896
857	487536	56334942
858	488135	56337886
859	488742	56341825
860	489317	56341938
861	489862	56338678
862	490398	56334425
863	490986	56336146
864	491536	56333457
865	492063	56328248
866	492698	56335230
867	493290	56337357
868	493911	56342851
869	494508	56345564
870	495050	56341975
871	495645	56344399
872	496210	56343458
873	496786	56343742
874	497356	56343377
875	497940	56344567
876	498445	56336873
877	499015	56336408
878	499580	56335524
879	500178	56338278
880	500817	56345710
881	501472	56354856
882	502089	56359715
883	502647	56357949
884	503275	56363996
885	503871	56366548
886	504432	56365090
887	505038	56368715
888	505634	56371156
889	506166	56366453
890	506781	56371087
891	507369	56372641
892	507776	56354119
893	508363	56355548
894	508878	56349089
895	509492	56353471
896	510114	56358799
897	510728	56363255
898	511346	56368134
899	511989	56375677
900	512553	56374671
901	513169	56379270
902	513782	56383541
903	514368	56384815
904	514983	56389229
905	515577	56391477
906	516132	56389372
907	516769	56396211
908	517295	56390930
909	517865	56390395
910	518409	56387129
911	518993	56388201
912	519544	56385627
913	520091	56382695
914	520692	56385538
915	521197	56378069
916	521813	56382647
917	522422	56386385
918	523004	56387177
919	523485	56377129
920	524079	56379249
921	524592	56372656
922	525241	56380701
923	525834	56382617
924	526356	56377055
925	526774	56360362
926	527325	56357849
927	527945	56362751
928	528462	56356585
929	528999	56352652
930	529597	56355206
931	530178	56355884
932	530768	56357646
933	531371	56360692
934	531915	56357482
935	532533	56362116
936	533079	56359053
937	533689	56362886
938	534254	56361842
939	534809	56359824
940	535315	56352638
941	535911	56354892
942	536497	56356133
943	537087	56357740
944	537601	56351488
945	538186	56352516
946	538782	56354873
947	539349	56354036
948	539946	56356453
949	540370	56340743
950	540945	56340811
951	541564	56345506
952	542165	56348219
953	542672	56341275
954	543190	56335427
955	543764	56335416
