iter	Logloss
0	0.5194846825
5	0.1711162599
10	0.08002428954
15	0.05956370606
20	0.05257092969
25	0.04801720721
30	0.04510530087
35	0.0427550081
40	0.04179443252
45	0.0403919324
50	0.03962151729
55	0.03894389414
60	0.03833394773
65	0.0376139243
70	0.03698517971
75	0.03668301982
80	0.03622251622
85	0.03590789174
90	0.03574476476
95	0.03550492369
100	0.03520117627
105	0.03489391066
110	0.03460306812
115	0.03433867822
120	0.03418352196
125	0.03403486879
130	0.03367263701
135	0.03354448117
140	0.03337730061
145	0.0332547404
150	0.03313088618
155	0.03298659251
160	0.03280676546
165	0.0326246646
170	0.03250476681
175	0.03238382306
180	0.03212371618
185	0.03186322069
190	0.03174118965
195	0.03160525326
200	0.03145786308
205	0.03128243481
210	0.03120462103
215	0.0310236302
220	0.03094997542
225	0.03081425814
230	0.03065005007
235	0.03056464591
240	0.03041618498
245	0.03030896882
250	0.03011677846
255	0.03001328101
260	0.02991616262
265	0.029791649
270	0.02970166416
275	0.02946774119
280	0.02936490108
285	0.02927643968
290	0.02914999953
295	0.02903990804
300	0.02893957532
305	0.02879203837
310	0.02867109876
315	0.02857688258
320	0.02843849047
325	0.02830163835
330	0.02821805531
335	0.0281329116
340	0.02805270413
345	0.02794087628
350	0.02776763293
355	0.02768162931
360	0.02757285043
365	0.02747466749
370	0.02738686343
375	0.0271636997
380	0.02702916273
385	0.02694498229
390	0.02688256838
395	0.0268290926
400	0.02671597902
405	0.02662194473
410	0.0265222032
415	0.02646534771
420	0.02636714202
425	0.02632040291
430	0.02624640706
435	0.02617426332
440	0.02608424954
445	0.02600712617
450	0.02592750782
455	0.02583898442
460	0.0257321238
465	0.02566111077
470	0.02557736236
475	0.02549844062
480	0.02541601928
485	0.02524909297
490	0.02515920529
495	0.02506298815
500	0.02499883995
505	0.02494165992
510	0.02490155619
515	0.02485231175
520	0.02477741464
525	0.02463248845
530	0.02452931346
535	0.02442395149
540	0.02433351189
545	0.02425570018
550	0.02421488329
555	0.02413231932
560	0.02408333534
565	0.02396091982
570	0.02391126196
575	0.02383717723
580	0.02376316277
585	0.02362411126
590	0.02354992731
595	0.02344795331
600	0.02339504597
605	0.02331750712
610	0.02324074343
615	0.0231415476
620	0.02306696263
625	0.02299785753
630	0.02295814447
635	0.02288642036
640	0.02283907145
645	0.02277731488
650	0.02272102784
655	0.02264955591
660	0.02255983359
665	0.02251511403
670	0.02241469449
675	0.02238322708
680	0.02230772845
685	0.0222486777
690	0.02220545058
695	0.02216240743
700	0.02208430633
705	0.02199712034
710	0.02196061128
715	0.02190589524
720	0.02183973368
725	0.0217885131
730	0.02171922196
735	0.02167566824
740	0.02160512857
745	0.02155928037
750	0.02150755749
755	0.0214524735
760	0.0213905991
765	0.02133779719
770	0.02129060951
775	0.02125623163
780	0.02113305956
785	0.02107657615
790	0.02102461761
795	0.02096022756
800	0.02087295268
805	0.02081651888
810	0.02075144462
815	0.02065459495
820	0.02059613953
825	0.0205081391
830	0.02047101818
835	0.02041709797
840	0.0203734657
845	0.0203259783
850	0.02025763595
855	0.02019007497
860	0.02013269651
865	0.02009346095
870	0.02004758382
875	0.0199814636
880	0.01990587815
885	0.01980142777
890	0.01975065161
895	0.01969409379
900	0.01958414286
905	0.01951154024
910	0.01946084676
915	0.01941735919
920	0.01937218693
925	0.01930574425
930	0.01927083306
935	0.01922962756
940	0.01917765662
945	0.01913421659
950	0.01908558401
955	0.01903631477
